_id,singkat,hasil
165,bancai,goblok
166,bancrit,banyak cerita
167,bangau,banget
168,bangaw,banget
169,bangbut,bolos
170,bangkotan,tua
171,Bangkung,babi
172,bangsul,brengsek
173,banned,di hapus karena melanggar peraturan
174,bansur,pembantu
175,baper,bawa perasaan
176,baperan,bawa perasaan
177,bapet,babi ngepet
178,bapuk,jelek
179,barbarian,primitif
180,barbuk,barang bukti
181,barbut,barang bukti
182,barka,orang-orang yang sedang nonton bola
183,barles,barang lepas
184,baryaw,sabar yah
185,basbang,basi banget
186,basdu,parah atau ancur
187,baseng baseng,asal-asal
188,basi,udah lama
189,basilok,basi luh
190,basket,basah keteknya
191,basong,anjing
192,bata,reputasi jelek
193,batangan,laki-laki
194,bati,keuntungan
195,batut,barang butut
196,baulan,cewek remaja nakal
197,Bawuk,Tempat untuk menyimpan sesuatu
198,bayle,melebih-lebihkan sesuatu
199,bayur,waria murahan
200,bazoka,anak bujang
201,bbl,be back later
202,bbm,pesan blackberry
203,bc,dikirimkan
204,bchk,saya mau kawin
205,bdg,diam
206,Bebal,sukar mengerti
207,bebala,berantem
208,bebeb,panggilan sayang untuk pacar
209,bebel,kurang ajar
210,bebong,pembantu
211,beceng,senjata api
212,becessu,anjing babi
213,beckam,sampah masyarakat
214,Bedepret,bedebah kampret
215,Bedes,monyet
216,bedon,bodoh
217,bedor,orang ceroboh
218,bedulz,melampiaskan kekesalan
219,begajul,nakal
220,begajulan,pergi bergaul
221,bege,bodoh
222,begeng,kurus banget
223,begete,banget
224,begichu,memonyongkan bibir
225,begindang,begitu
226,behe,bodoh
227,bejibun,banyak
228,bekibolang,belok kiri boleh langsung
229,belagak nian,cakep
230,belah duren,malam pertama
231,belalang,beli
232,belambun,banyak jumlahnya
233,belanda,bergaya lemah seperti janda
234,bele,bodoh
235,beler,mabok
236,bella,gembel gila
237,belle,bodoh
238,bembe,kambing
239,benciz,perempuan jadi-jadian
240,benga,turunan dari bego
241,bengen,jaman dulu
242,Benjet,banget
243,bento,ketidak warasan
244,bentoyong,miring
245,beo,ikut-ikut
246,Bera,berapa
247,berce,berak di celana
248,bercel,buang air besar di celana
249,berebah,tiduran
250,beres,bengkel resmi
251,beri beri,buang air besar
252,Beribolang,belok kiri boleh langsung
253,berjibun,banyak sekali
254,berkih,berak
255,berley,berlebihan
256,berondong,daun muda
257,Bersajam,Bersenjata tajam
258,bestyle,bego
259,betak,pencuri
260,betewe,omong-omong
261,beti,beda tipis
262,bets,banget
263,Beud,banget
264,Beudh,banget
265,Beungeut,wajah
266,beut,banget
267,bibrik,status
268,biduan,penyanyi
269,bidut,babi gendut
270,bijeng,bikin jengkel
271,biji,umpat
272,bijimane,bagaimana
273,bill up,bilang dong
274,Bimbo,bimbang
275,Bimbs,bimbingan
276,bimo,cowok item sok manis
277,binggo,banget
278,bingit,banget
279,Bingkisan,hadiah
280,binjulid,sirik
281,binun,bingung
282,biper,bikin laper
283,bisa jedong,bisa jadi
284,bispak,bisa pakai
285,bitch please,numpang lewat
286,blacklist,sesuatu yang di hapus
287,blak,orang hitam
288,blanggem,lambat berfikir
289,blangsak,brengsek
290,bledes,sialan
291,blegug,tolol
292,blehem,bodoh
293,blewah,gaya rambut
294,blink,mengkilap
295,Blog,Tulisan di halaman web
296,blokm,belokan makam
297,bnwot,dagangan baru
298,bnwt,merek baru
299,boam,bodo amat
300,boaring,bosan
301,boat,obat-obatan terlarang
302,bocia,teman
303,bocikam,anak kecil kampung
304,boco,lelaki ganteng
305,bocor,siasat yang ketauan
306,bodat,monyet
307,boding,bodoh
308,Bodo,emang saya pikirin
309,bodong,barang yang tidak jelas siapa pemiliknya
310,bodor,lucu
311,bohwat,bingung
312,boi,panggilan anak lelaki
313,boil,mobil
314,boim,bocah imut
315,bokap,ayah
316,bokek,tidak punya duit
317,boker,buang hajat
318,bokes,pelit
319,bokgi,tidaur lagi
320,boking,pesan terlebih dahulu
321,bokis,bohong
322,Bokri,buang air besar
323,boku,bau
324,bokul,jual
325,Bolaemon,doraemon
326,boljug,boleh juga
327,Bolkencerot,ungkapan kekecewaan
328,bolly,budeg
329,bolot,botak melotot
330,bombongan,cari perhatian
331,Bon ndase,menjotos ke arah junior
332,boncos,tidak sesuai harapan
333,bondan,bocah gila
334,bonding,nurut sama tuannya
335,bondo,banyak
336,bondon,wanita panggilan
337,bonek,bondo nekat
338,Boneng,benar
339,Bongkrek,goblok
340,bongok,anak pelit
341,bonto,jelek
342,bonyok,bokap-nyokap
343,booked,sudah di pesan orang tapi belum jelas
344,bookmark,menandai situs
345,Bopeng,anak ingin
346,bopik,tukang bohong
347,Bopong,tidak ikut campur
348,bops,bajingan
349,bor,bro
350,bore,banyak ngomong
351,bori,bocah ribet
352,borjeng,botak kumis
353,bosok,busuk
354,boten,tidak
355,boteq,kera
356,botin,orang yang disayang
357,botis,anak autis
358,botol,bodoh
359,botot,sudah tua
360,bottek,bohong
361,botto,bau busuk
362,botun,hamil
363,Boyo,anak loyo
364,bp,berita politik
365,bpjs,dana pas-pasan jiwa sosialita
366,brade,saudara
367,brader,saudara laki-laki
368,brai,sbg gantinya bro
369,brangkutsss,brangkat
370,brax,sahabat
371,brb,akan kembali
372,bre,teman
373,brengkesh,brengsek
374,brengki,brengsek
375,brengo,seram
376,bribikan,orang yang disukai
377,broh,teman laki
378,brokap,berapa harganya
379,brokat,anak muda rusak
380,brondong,lebih muda
381,brownies,brondong manis
382,bru,teman
383,bt,barter
384,bt / bete,boring total
385,btw,ngomong-ngomong
386,bu,butuh uang
387,Bubuhan,teman
388,Buceri,bule ngecet sendiri
389,bucheri,bule ngecat sendiri
390,buintasgaan,buka internet asal tidak ketahuan
391,bujanginam,cakap kotor
392,bujubuneng,ya ampun
393,bumil,ibu hamil
394,Bunga desa,gadis paling cantik
395,bungul,dalam
396,Bunteng,mati
397,buntut cumi,buntutnya cumi
398,bupati,buka paha tinggi-tinggi
399,burek,kabur ato buram
400,burenk,mementingkan dirinya
401,burjo,bubur kacang hijau
402,burket,bubur ketek
403,busut,buset
404,buta,buang air besar
405,butet,buset
406,butut,jelek
407,ca oong cih,masa bohong sih
408,cabe cabean,wanita nakal belasan tahun
409,cabe-cabean,calon abege
410,cabi,pengucapan berbeda yang bermaksud agar terdengar lebih lucu
411,cabs,kabur
412,cabut,pergi
413,cacad ccd,cacat
414,cacamarica,cari
415,cadut,lucu
416,caem,cantik
417,cah malang,anak malang
418,cah ndeso,orang bodoh tetapi yang diutamakan ributnya
419,caka,cintai aku karena allah
420,camat,calon mati
421,camer,calon mertua
422,cancel,membatalkan
423,cangcut,celana dalam
424,cangkeman,cerewet
425,caoek,kacau
426,capani,siapa ini
427,capcus,pergi
428,caper,cari perhatian
429,caprak,keterlaluan
430,capruk,ngaco
431,capsa,permainan kartu
432,carmuk,cari muka
433,cash,bayar langsung
434,cashbon,pinjam duit nanti diganti pas gajian
435,caur,kacau
436,Caw,berangkat
437,cdma,capek deh
438,cecan,wanita cantik
439,cecem,panggilan sayang
440,ceces,tidak kecil
441,cekak,tidak punya uang
442,cekel,pelit
443,Cekibrot,coba lihat
444,cekidot,coba lihat
445,ceko,cowok cowok konak
446,celik,curang
447,celokan,celana
448,celokat,coklat
449,cem ceman,yang disayangi
450,cemat,gadis materialistis
451,cembokur,cemburu
452,cemen,mental kecil
453,cemet,sialan
454,cemot,gadis motor
455,cemput,cempaka putih
456,cemumut,semangat
457,cemungudh,semangat
458,cendol,pengguna kaskus
459,cendol gan,memberikan sesuatu kepada orang melalui artikel
460,cengdem,kacamata hitam murahan
461,cenggenah,yang benar
462,cengil,wanita usil
463,cengli,bertindak adil
464,cenglu,bonceng telu
465,cengo,melongo
466,centong metong,cinta mati
467,cepe deh,capek deh
468,cepi,gadis pilihan
469,cepirit,keluar taik encer
470,cepu,lemes
471,cetar,spektakuler
472,cetiau,satu juta
473,ceumungudh,semangat
474,cfd,car free day
475,cg,generasi komputer
476,cgb,maaf tidak dibalas
477,chaw,pergi
478,chebek,benci cherry belle
479,chekidot,silahkan cek
480,cheng cheng po,lamban
481,cheng cheng poh,senyum
482,chilil,binatang haram
483,ciamik,bagus
484,ciamik soro,bagus
485,ciban,kata banci terbalik
486,cibi,cerdas intelektual bakat istimewa
487,cicing,anjing
488,ciee,rasa senang
489,Cika,sakit
490,cileng,banci kaleng
491,cimay,anak kurang kasih sayang
492,cimeng,daun ganja
493,cimot,anak monyet
494,cims,cimeng
495,cincai,setuju
496,cing,sapaan untuk teman dekat
497,cingcay,lumayan
498,cingku,jago sekali
499,cinko,cina kota
500,cinlok,cinta lokasi
501,cinonot,alat kelamin pria
502,cintrong,jatuh cinta
503,cip,sip
504,cipap,cium
505,cipet,copet
506,ciplis,mengecewakan
507,cipoa,bohong
508,cipok,cium
509,cius,serius
510,cius miapah,serius nih demi apa
511,ciuz,serius
512,ciyus,serius
513,ciyus miyapah,"serius, demi apa"
514,ck,donasi
515,ckptw,cukup tahu
516,clbk,ceboknya lama bersihnya kagak
517,cloken,celana
518,Cluski,culun
519,cmiiw,perbaiki aku jika aku salah
520,cnool,bego
521,co admin,administrator kaskus
522,cobrote,matamu
523,coc,clash of clans
524,coca-cola,colok cabut colok lagi
525,Cocan,laki-laki cantik
526,cocobi,cowok-cowok biadab
527,Cocotan,banyak omong
528,cocote,kecewa sama omongan
529,cod,ketemu penjual
530,Codex,pria idaman
531,coi,teman
532,coker,laki-laki keren
533,cokibers,cowok kita bersama
534,cokil,lelaki kotor
535,Cokri,pacar
536,cole,lelaki bergaya norak
537,colok,wanita yang sempurnya dimata lelaki
538,combe,tukang gosip
539,comel,banyak omong
540,cometan,sisa makanan di wajah
541,compong,umpatan kasar
542,cong,mengganti nama panggilan seseorang
543,conge,pura-pura goblok
544,congil use,lelaki usil kampungan
545,congrat,selamat
546,cool,keren
547,copas cefo,salin ganti huruf
548,Copo,jelek
549,copot,lepas
550,Cops Cups,pecundang
551,costumer,pembeli
552,cot,ngomong
553,cotba,banyak bicara
554,cpo,cari perhatian orang
555,crabing,lincah
556,crap,omong kosong
557,crickman,"bego, tolol, malas banget"
558,crunchy,bosan lawakannya
559,crush,orang yang kita taksir
560,ctrld,simpan
561,cubang,culun banget
562,Cubet,lucu banget
563,cuco,cakep
564,cucok,cakep
565,cuek,ga peduli
566,cukap,bagus
567,cukataw,cukup asal tahu saja
568,cukoroyo,sialan
569,cukstaw,cukup tahu
570,cuktaw,cukup tahu
571,culik,dijemput
572,cumai,cumi
573,cumak,mengumpat kasar
574,cumi,cuma miscal
575,cun,pelacur
576,cunaja,hanya nanya saja
577,cungguh,sungguh
578,cungkring,kurus tinggi
579,cunpe,wanita nakal
580,cupid,bodoh
581,cups,cupu
582,cupu,culun punya
583,curanrek,pencurian korek
584,curcin,curhatan cinta
585,curcol,curhatan colongan
586,curhat,mengungkapkan perasaan
587,curmuk,mencuri perhatian
588,cus,pergi
589,Cutau,cukup tahu
590,cuuung,ganja
591,cyin,cinta
592,cz,terus
593,dabo,kawan
594,dadong,wanita setengah tua
595,dae,ada
596,dafuq,kaget
597,daku,aku
598,damat,masa bodo
599,Damn,sialan
600,danisinaga,keren
601,danta,benar
602,dari pasar,"kan udah banyak tuh dari hongkong, skrg dari tuu dari pasar"
603,darting,darah tinggi
604,dasun,mabok
605,dayak,kampungan
606,dc,putus
607,de bes,terbaik
608,dedi dores,dengan diiringi doa restu
609,Dee,kamu
610,deezbro,member deezclan
611,degel,keras kepala
612,dego,bego
613,dejavu,telah melihat
614,delkon,hapus daftar nama
615,delon,gede bodoh
616,demian,demen istri teman
617,demot,perasaan buruk tiba-tiba
618,dempa,demi apa
619,demus,dengar musik
620,Deot,idiot
621,depek,pendek
622,depete,dapat
623,diadora,diam-diam doyan waria
624,didiyeu,disini
625,diki,dikira lucu
626,dimas,diam diam suka mas mas
627,dina,diam diam nakal
628,Dincan,dinner cantik
629,dira,diam diam rakus
630,dituvokin,kalah argumen
631,diy,lakukan sendirir
632,dj,jarang dibelai
633,dll,dan lain-lain
634,doberman,dosis berat man
635,dobol,bohong
636,docil,pelacur kecil
637,dodi,doyan judi
638,dodol,lambat
639,doku,duit
640,dolang,duit
641,Dolcen,buang air besar dicelana
642,dolob,goblok
643,dolor,saudara
644,doms,dong
645,donat,donatur
646,dongle,rindu
647,donglish,bahasa campuran indonesia inggris
648,donita,doa dan niat paling utama
649,dora,doyan waria
650,dores,doa restu
651,doscil,dosis kecil
652,dosting,dosis tinggi
653,download,menyalin berkas
654,dp,gambar mengganggu
655,dpmp,digital photography manual photography
656,dpr,dewan penipu rakyat
657,dttm,jangan bicara banyak
658,dude,duren gede
659,dudutz,sombong
660,dugab,mabuk minuman keras
661,dugem,dunia gemerlap
662,dulur,saudara
663,dungdeblang,melendung depan belakang
664,duren,duda keren
665,duta,"duit, uang"
666,eargasm,suka berlebihan
667,eb,memang bego
668,eceng gondok,tidak enak
669,edag naon,tidak tahu goblok
670,Edan,gila
671,edeb,bandar
672,edi tansil,ejakulasi dini tanpa hasil
673,eeaaa,nge-tweet kata-kata gombal
674,ef,english forum
675,egis,suka mempertunjukkan
676,egp,memang saya pikirin
677,ejbese,tidak jelas banget
678,Ejes,Iya
679,Ekap,pakai
680,eksentrik,cara berpakaian
681,eleg,ganja
682,ember,memang begitu
683,emberan,emang benar
684,emoh,tidak mau
685,emot,emosi
686,empok,perempuan tua
687,endang,enak dan nendang
688,endes,enak
689,endong,enak
690,enek,menjijikkan
691,engdeng,busyet deh
692,eni,enak dan nikmat
693,enter wind,masuk angin
694,envy,cemburu
695,enyah,pergi
696,epak,perkosa
697,epen kah,emang pentingkah
698,Epenkah,memang penting ya ?
699,eplekeseh,orang yang tidak punya pendirian
700,Es coret,rambu berhenti
701,esiong,asli
702,eskap,es capucinno
703,eskelemente,kesal
704,esteh,cara gratis internet
705,etdaah,sudah
706,eto,bohong
707,etrenk,naik motor
708,etrow,lambat
709,ewul,lapar
710,exe,masuk
711,fals,suara sumbang
712,fauk,bersetubuh
713,fbi,flu burung indonesia
714,fellas,sobat laki
715,feme,banci
716,ff,ikut jumat
717,fix,tetap
718,fjb,forum jual beli
719,flu,merasa kesepian
720,Folbek,follow balik
721,formil,formulir militer
722,fovie,forum film
723,fr2,forum kendaraan roda dua
724,frank,nama anak laki-laki eropa
725,Frenly,menakjubkan
726,fudhul,ingin tahu
727,fudul,ingin tahu
728,fyi,untuk informasi anda
729,g6,gundah gulana gelisah
730,ga aci,tidak sah
731,gaban,banyak
732,gabut,gaji buta
733,gacean,teman wanita
734,gacoan,jagoan
735,gacor,mantap
736,gadir,tidak tahu diri
737,gadun,om-om
738,gagal move on,tidak bisa berpaling
739,gagal nyendok,sendokan yang tidak pas
740,gahar,sangar
741,gahbul,nongkrong
742,gaje,tidak jelas
743,gajebo,tidak jelas
744,Gajebot,tidak jelas botak
745,gakuku,tidak kuat
746,galadia,kurang ajar
747,galau,risau
748,Galo,risau
749,gaman,gagal lagi
750,Gamon,gagal move on
751,gan,juragan
752,ganal,besar
753,gandeng,berisik
754,gandira,ganas di ranjang
755,gapa,mahir
756,gapatar,gerakan nanti
757,gape,ahli bidang non pendidikan
758,gaper,tidak punya perasaan
759,gaplek,sialan
760,gaprak,tekling kaki lawan
761,gaptek,gagap teknologi
762,Garada Edokat,gara-gara tidak ada duit
763,garasiba,tidak bisa
764,Gardot,sikap kebebasan
765,garing,tidak lucu
766,gas,ayo
767,gasmal,gawat
768,gathel,umpatan kekesalan
769,gatsu,gatot soebroto
770,gawe,kerja
771,gawl,gaul
772,gayeng,lucu
773,gayus,sindiran untuk orang yang gila uang
774,gazebo,ga zelas banget booo
775,gazebow,tidak jelas
776,gb,gaji buta
777,gc,gerak cepat
778,gebetan,teman dekat
779,Gebleg,malas yang sudah tidak dapat ditolong lagi
780,gebse,bodoh sekali
781,gece,gerak cepat?
782,gedeg,kesal
783,gedongan,"gede, bodoh, kampungan"
784,gegana,gelisah
785,gegara,gara-gara
786,gegitaran,maen gitar bareng temen-temen
787,Geje,tidak jelas
788,gejlek,ungkapan ketika sedang kesal
789,Gejoh,sperma
790,gelo,gila
791,gemay,gemas
792,gendang,gendut minta ditendang
793,genday,gendut
794,gengges,mengganggu
795,genji,babi
796,genjos,marijuana
797,genjur,kenyal
798,genok,panggilan untuk lelaki oleh kekasihnya
799,gento,bandar judi
800,gentor,tidur
801,geol,gaul
802,gesrek,gila sedikit
803,getho loh,begitu
804,geuring gering,sakit
805,Gewes,gadis
806,ggwp,permainan bagus
807,ghazebo,tidak jelas banget
808,gicung,gigi mancung
809,gidet,gila update
810,gifo,gila foto
811,gilardino,menyatkan keheranan
812,gilbang,gila banget
813,gilingan padi,gila
814,gilos,gila
815,gimenong,bagaimana
816,gimme,berikan padaku
817,gincu,lipstik
818,ginuk ginuk,gemuk
819,giring,gigi kering tambah kuning
820,gita,gigi tajam
821,giting,keadaan tidak sadar
822,gj,tidak jelas
823,gjlbgtgtl,tidak jelas banget
824,gm,pemimpin permainan
825,gmc,geng motor cacing
826,goban,50 ribu
827,goblog,tolol
828,godag,gangguan pada otak
829,gode,gendut
830,gogon,bodoh
831,gokil,gila
832,golekmah,golongan ekonomi lemah
833,gombal,rayuan bernada cinta
834,gonggo,laba-laba
835,Googling,mencari data
836,goroh,bohong
837,gpl,tidak pakai lama
838,grafitti,seni jalanan menggunakan cat semprot
839,gratong,gratis
840,greget,gemes liat sesuatu
841,gretong,gratis
842,gretongan,gratisan
843,grewe,saya
844,gromang,gerombolan
845,Grosir,pembelian barang dengan jumlah besar
846,groufie,bareng-bareng
847,gth,pergi ke neraka
848,gubrak,keterkejutan
849,gudang sekolah,ruangan tempat merokok
850,gudnyus,berita baik
851,gue,saya
852,Gugel,saya geli
853,gumasep,sok ganteng
854,Gundam,Nama franchise robot dari jepang
855,gweh,saya
856,gwf,semoga cepat membaik
857,gwrs,semoga cepat sembuh
858,gws,semoga cepat sembuh
859,hacep tengab,pecah banget
860,hadeh,aduh
861,hakim,hubungi aku kalo ingin menang
862,hakuna matata,jangan khawatir
863,halu,halusinasi
864,hanam,jahanam
865,hancoook,ungkapan kasar
866,hancurkan,ramaikan
867,hansip,report post
868,hantu,yang nge bete-in
869,harem,istri
870,Harim,wanita
871,harjad,haram jadah
872,harkos,harapan kosong
873,Harpitnas,hari kejepit nasional
874,hasian,sayang
875,hasio,asem tenan
876,Hasyemeleh,tidak peduli
877,haters,pembenci
878,Hbd,selamat ulang tahun
879,heang,penis
880,hedeh,aduh
881,hedon,pemboros
882,hegemoni,dominasi satu kelompok
883,hejtep,pecah
884,heni,hebat dan berani
885,henshin,berubah
886,Hentai,film standar
887,Hepeng,duit
888,hesyeh,latahan untuk orang kaget yang lagi giting
889,hewul,biarin
890,hiatus,berhenti sebentar
891,hipster,anak orang kaya
892,ho,nongkrong bareng
893,hoax,berita bohong
894,Hokep,telephone genggam
895,hola holo,plonga plongo
896,holic,ketagihan
897,homz,rumah
898,honda,hobinya nongkrongin janda
899,Html,hati meleleh
900,huana,orang asli indonesia
901,hugel,hubungan gelap
902,hunting,pengecekan
903,i don?t donk,susah amat ya
904,ia,saya
905,ibab,babi
906,ibas,sabi
907,icah x,bisa
908,ich lie beddih,saya cinta kamu
909,icha,bisa
910,icha x,iya kali
911,kagak,tidak
912,idgafos,saya tidak peduli
913,idiboy,lelaki aneh
914,idk,tidak tahu
915,idoh,air ludah
916,ifcwy,nyaman
917,ijolumut,ikatan bujang lucu
918,ikan,obat
919,iko,itu
920,ikr,i know right
921,ilfil,hilang perasaan
922,ilkomu,semangat
923,illuma,penganut illuminati
924,ilmusipil,ilmu yang mempelajari bangunan dan arsitektur
925,Ilusi,mengajak mabok
926,ily,aku sayang kamu
927,ilyt,i love you too
928,imba,tidak seimbang
929,imbisil,kagum diri sendiri
930,imho,menurut pendapat saya
931,imo,menurut saya
932,indo sing,orang indo yang tinggal di singapura
933,Infal,mengerjakan pekerjaan rumah tangga
934,inkubus,intisari
935,Insting,naluri
936,intan,indahnya mantan
937,intel,indomie pakai telor
938,internet,indomie telor kornet
939,intis,anggur
940,intro,perkenalan
941,ipad,sebuah produk dari perusahaan apple
942,ipik ipik,masa bodo
943,iptn,ikatan pemuda telat nikah
944,ira,kamu
945,isug,gusi
946,isuzu panther,ih sungguh-zungguh pantatnya bikin gemeter
947,italia,ikatan anak-anak liar dan gila
948,iwak peyek,orang yang suka ikut-ikutan
949,iykwim,jika kamu tahu maksud saya
950,iyo tawwa,mengapresiasi keberhasilan seseorang
951,iyot,iya
952,iyuh,jijik
953,jabingan,bajingan
954,jablay,jarang dibelai
955,jablug,jablay bulug
956,jabo,berada diluar
957,jabrah,tidak anggun
958,jadul,jaman dulu
959,jae,saja
960,jagung,jablay nanggung
961,Jahara,jahat
962,jahe,pedas mulut
963,jaim,jaga wibawa
964,jajal,mencoba
965,jakai,jamur kotoran sapi
966,jakam,lelaki bebas
967,jakwir,temen dekat
968,jal,anak laki-laki
969,jamalang,ungkapan kekesalan
970,jaman jebot,jaman dulu
971,jamat,mata-mata
972,jamban,jancok sak emban
973,jambel,sahabat
974,jamber,jam berapa?
975,jamblang jamblangan,rombongan
976,jambo,wanita berkelakuan negatif
977,jamet,jawa metal
978,jamput,bahasa gaul orang malangan
979,jamu gendong,janda muda gemar lelaki muda
980,jangar,pusing sekali
981,jangkrik boss,dompet kosong
982,japri,jaringan pribadi
983,jarkom,jaringan komunikasi
984,jarpul,jarang pulang
985,jarum super,jarang dirumah suka pergi
986,jasleng,kata penghinaan
987,jasot,anjing
988,Jasuke,Jangan suka kepo
989,jatem,jaga tempo
990,jati wularso,bicara terus
991,jaw4p gag34,jawab ngga ya
992,jawir,jawa medok
993,jayus,melucu tapi tidak lucu
994,jbjb,join bareng join bareng
995,jebole,ternyata
996,jece,anjing
997,jedig,salah satu pukulan dalam silat betawi
998,jeger jager,preman besar
999,jeki brur,jelek habis
1000,jelang dos,jelas dong
1001,jelong,jelek
1002,jelong jelong,jalan-jalan
1003,jembek,jelek sekali
1004,Jembel,Kulit kemaluan laki-laki luar
1005,jengky,jengkol
1006,jenglot,makhluk kecil
1007,jenifer,jeruk nipis peres
1008,jenong,jidat lebar
1009,jens,normal
1010,jerawatbatu,jerawat paling sadis
1011,jerman,jejeran manusia mandul
1012,jessika,jelas sexy tapi katrok
1013,jeweh,bibir tebal
1014,jiang,anjing
1015,Jiat,bagus tidak nya barang
1016,jiay,jijik
1017,jibang,jijik banget
1018,jibangjibangsi,jijik banget
1019,jibrong,besar tinggi bau seram
1020,jijay,jijik
1021,jijay markijay,jijik
1022,jilboobs,gaya hijab
1023,jingek,ekspresi kesal
1024,jinseng,ginseng
1025,Jipem,pinjam
1026,jj,cemburu
1027,jjs,jalan-jalan sore
1028,Jo,panggilan untuk orang yang lo kenal
1029,jogem,sendiri tapi tidak apa-apa
1030,Jogja,Kota istimewa
1031,jogrog,duduk dengan nyaman
1032,joh,lah
1033,jojoba,sendirian banyak uang
1034,Joker,bujang keren
1035,joko,jorok dan kotor
1036,jokul,jual
1037,jokut,bujang
1038,jomenk,bujang pakai ganja
1039,jon,teman
1040,jonatan,jomblo kejebak mantan
1041,jones,kasihan sendiri
1042,jongjong,berdiri
1043,jongos,tukang yang di suruh suruh
1044,joni desko,tukang nongkrong di disko
1045,Jorse,jorok sekali
1046,joubeng,yoi
1047,Jow,bung
1048,jreng,asli
1049,jrock,jrock
1050,juaji,perhitungan
1051,Jubalo,judes banget kamu
1052,jubek nabebek,belagu
1053,julit,kekanak-kanakan
1054,junk,tidak jelas
1055,junun,bersungguh-sungguh
1056,Juo,teman/kawan
1057,juragan,panggilan kepada seseorang
